ID,Бренд,Наименование,Количество,Цена,Цена по акции
470307,KUNSTLER,"Вино Kunstler Riesling белое сухое, 0.75л",18,3799,0
429333,УСАДЬБА ПЕРОВСКИХ,"Вино Усадьба Перовских Шардоне белое сухое, 0.75л",12,519,0
114482,GAJA,"Вино Gaja Ca'Marcanda Promis красное сухое, 0.75л",14,7999,6299
518758,CHATEAU HAUT PEYRUGUET,"Вино Chateau Haut Peyruguet красное сухое, 0.75л",9,2119,1599
444638,D'ARENBERG,"Вино d'Arenberg The Footbolt Shiraz красное сухое, 0.75л",53,2499,2249.1
510566,CANTAGALLO,"Вино Tenuta Cantagallo Chianti Montalbano красное сухое , 0.75л",30,3099,0
604904029,CLAUS JACOB,"Вино Claus Jacob Urmeer Loss Grauburgunder белое полусухое, 0.75л",106,1199,0
553261,CHATEAU LANGE REGLA,"Вино Chateau Lange Regla белое сладкое, 0.75л",23,3559,0
551581,CHATEAU LE SEPE,"Вино Chateau Le Sepe Bordeaux красное сухое, 0.75л",50,1999,0
85629,CUSUMANO,"Вино Cusumano Nadaria Insolia Terre Siciliane белое сухое, 0.75л",50,1069,0
103066,MARCHESI DE' FRESCOBALDI,"Вино Marchesi De' Frescobaldi Nipozzano Chianti Rufina Riserva красное сухое, 0.75л",16,3299,0
519577,LA VIMINIERE,"Вино Chateau Fleur Haut Gaussens La Viminiere Malbec красное сухое, 0.75л",10,2599,0
84828,FALESCO,"Вино Falesco EST! EST!! EST!!! di Montefiascone белое сухое, 0.75л",33,1449,0
505708,FONTERUTOLI,"Вино Fonterutoli Poggio Badiola красное сухое, 0.75л",19,1699,0
473008,GNARLY HEAD,"Вино Gnarly Head Cabernet Sauvignon красное сухое, 0.75л",28,1999,1799.1
487237,MAISON RIVIERE,"Вино Maison Riviere Chateau Moulin du Peyrat красное сухое, 0.75л",7,2189,0
